comp	usubs	uniprot	avgcoex	def	species
1181	80	Q9BRR8	NA	NA	human
1181	80	P11940	NA	ED	human
1181	80	Q9H2H8	NA	ED	human
1181	80	O43290	0.231587341772	UN	human
1181	80	Q9BUQ8	0.248092405063	ED	human
1181	80	Q9HCG8	NA	NA	human
1181	80	P61978	NA	NA	human
1181	80	P08579	NA	UN	human
1181	80	Q9ULR0	NA	NA	human
1181	80	Q00839	NA	UN	human
1181	80	Q15428	0.117916455696	ED	human
1181	80	Q9HCS7	NA	ED	human
1181	80	Q9UJV9	NA	NA	human
1181	80	Q9UQ35	NA	ED	human
1181	80	Q9UKM9	NA	NA	human
1181	80	Q13573	NA	UN	human
1181	80	Q99459	0.289989873418	NED	human
1181	80	P62306	NA	ED	human
1181	80	O95926	NA	NA	human
1181	80	Q8IYB3	NA	NA	human
1181	80	Q9Y5S9	0.331320253165	ED	human
1181	80	Q96DF8	0.190227848101	NA	human
1181	80	P31943	NA	UN	human
1181	80	Q14562	NA	UN	human
1181	80	O60506	NA	UN	human
1181	80	P22626	NA	UN	human
1181	80	P09651	NA	UN	human
1181	80	Q13435	NA	UN	human
1181	80	Q8WUQ7	NA	NA	human
1181	80	P09661	NA	UN	human
1181	80	Q01081	0.275902531646	UN	human
1181	80	P62304	NA	UN	human
1181	80	Q9Y3C6	NA	NA	human
1181	80	P61326	NA	NA	human
1181	80	Q9H5Z1	NA	NA	human
1181	80	P52597	NA	UN	human
1181	80	Q15029	0.285053164557	NA	human
1181	80	Q6P2Q9	NA	UN	human
1181	80	P51991	NA	NED	human
1181	80	P07910	NA	NA	human
1181	80	Q9BRX9	0.139869620253	NA	human
1181	80	Q9UMS4	NA	ED	human
1181	80	P62310	NA	NA	human
1181	80	P52272	NA	NA	human
1181	80	Q96DI7	0.235415189873	UN	human
1181	80	P62316	NA	UN	human
1181	80	O95391	NA	NA	human
1181	80	P38159	NA	UN	human
1181	80	Q9UBB9	NA	ED	human
1181	80	P17844	NA	ED	human
1181	80	P62318	NA	NA	human
1181	80	Q92620	0.16927721519	UN	human
1181	80	Q14331	NA	NA	human
1181	80	O43660	NA	UN	human
1181	80	P62314	NA	ED	human
1181	80	Q9UNP9	NA	NA	human
1181	80	O60508	NA	ED	human
1181	80	Q9Y333	NA	ED	human
1181	80	Q12874	NA	UN	human
1181	80	Q15393	NA	ED	human
1181	80	Q07955	NA	UN	human
1181	80	Q9BZJ0	NA	NA	human
1181	80	Q15459	NA	ED	human
