prot	BRAIN	BROWN_ADIPOSE_TISSUE	HEART	KIDNEY	LIVER	LUNG	PANCREAS	SPLEEN	WHOLE_ORGANISM	tcount	def
O08734	NA	7.74	0.098	0.156	18.9	23.6	NA	12.7	12.9	7	UN
Q64310	1.82	12.1	2.31	48.0	14.7	8.78	785.0	17.5	57.2	9	UN
O88986	4.24	21.0	2.13	105.0	84.3	5.93	5426.0	31.1	82.3	9	UN
Q99JR8-2	9.89	2.46	0.18	59.5	12.4	55.3	4.61	11.8	27.1	9	UN
D3YYK0	25.3	89.9	132.0	26.0	1.64	44.8	8.27	6.98	23.5	9	UN
A6H5Z3	2.77	0.798	0.011	0.143	0.053	5.84	NA	0.557	1.96	8	UN
Q9QXS1-3	160.0	487.0	82.8	104.0	695.0	1575.0	52.9	367.0	96.4	9	UN
Q8R3P6	0.155	1.0	0.057	NA	0.065	1.12	0.243	3.4	29.6	8	UN
Q80W68	NA	NA	NA	0.306	NA	0.251	NA	NA	2.06	3	UN
Q9D666	0.039	0.474	0.025	NA	NA	NA	0.255	NA	3.53	5	UN
O08912	0.331	NA	NA	4.5	0.008	26.0	3.5	2.7	1.42	7	UN
Q8CFX1	0.164	183.0	2.21	145.0	539.0	686.0	0.578	71.3	25.5	9	UN
Q8CGZ0	24.0	3.99	0.216	59.4	52.6	29.9	0.588	2.8	36.4	9	UN
P02469	0.263	423.0	431.0	36.6	0.258	266.0	382.0	18.6	12.6	9	UN
Q8K1S3-2	0.153	NA	NA	NA	NA	NA	NA	NA	0.198	2	UN
Q3TUH1	1.86	4.4	0.154	0.506	0.051	1.73	0.688	3.25	3.72	9	UN
Q99N92	2.27	16.2	16.2	11.2	7.66	0.069	3.25	2.19	44.2	9	UN
B2RXS4	7.59	0.29	8.13	58.1	23.2	149.0	2.99	20.5	3.93	9	UN
P15105	2302.0	1756.0	40.1	328.0	676.0	116.0	8.15	53.9	433.0	9	UN
Q60953	0.155	4.63	0.51	NA	9.7	25.2	4.25	263.0	56.2	8	UN
O54967-3	0.404	NA	NA	NA	NA	NA	NA	NA	0.461	2	UN
Q99N85	2.71	5.71	NA	1.67	3.56	NA	0.786	10.6	3.87	7	UN
Q8BH15-2	0.24	0.537	NA	0.232	0.089	1.11	11.0	4.18	0.998	8	UN
Q6PIJ4	NA	NA	NA	NA	NA	13.0	0.553	NA	1.01	3	UN
Q9JIK9	8.55	71.2	24.2	68.1	6.47	0.894	0.893	6.42	12.6	9	UN
P49135	0.214	17.5	NA	NA	0.08	0.065	NA	NA	7.01	5	UN
Q62086	9.59	19.1	1.51	30.6	35.1	346.0	4.5	26.5	13.1	9	UN
Q91UZ1	2.93	6.92	2.42	NA	0.066	13.8	0.914	0.483	1.73	8	UN
Q80UK8	0.014	NA	0.011	0.06	0.021	0.11	0.053	0.172	8.83	8	UN
Q99ME2	0.24	NA	0.012	0.234	0.013	NA	7.46	2.03	10.6	7	UN
E9Q236	0.169	2.72	0.109	19.9	0.277	NA	0.078	1.02	0.753	8	UN
Q924W5	0.077	13.7	NA	NA	NA	NA	NA	0.36	6.98	4	UN
Q9Z0L0	0.707	NA	NA	NA	NA	NA	NA	NA	0.813	2	UN
Q8BLU0	0.197	NA	NA	NA	NA	NA	NA	NA	0.231	2	UN
Q8BUR4	6.91	34.7	6.44	141.0	0.197	176.0	119.0	54.1	0.85	9	UN
E9QQ14	NA	NA	NA	NA	NA	NA	NA	NA	1.33	1	UN
Q6WKZ8-2	1.6	1.08	3.6	8.29	0.053	8.64	42.9	37.5	13.7	9	UN
Q8CB77	0.162	NA	NA	0.132	56.4	45.4	NA	0.144	19.5	6	UN
Q8BM72	0.337	3.91	0.842	NA	1.64	4.89	33.9	4.71	1.03	8	UN
Q6NZL6	NA	NA	NA	NA	NA	NA	NA	1.71	11.0	2	UN
P51863	91.4	13.0	6.8	154.0	72.7	38.0	89.2	52.7	23.4	9	UN
Q64127-2	0.031	NA	NA	NA	16.1	0.599	NA	0.875	36.8	5	UN
E9Q7N5	0.833	64.8	17.4	20.9	1.66	1.62	0.389	8.39	21.7	9	UN
Q9D710	10.3	1.88	7.05	1.4	1.06	0.077	0.643	2.05	3.49	9	UN
Q8BJZ4	4.17	64.9	8.94	8.43	4.76	1.94	6.98	4.32	26.7	9	UN
Q8BGR2	0.27	0.177	NA	1.05	NA	0.092	5.78	20.8	0.665	7	UN
Q9DCC1	0.153	0.117	NA	1.34	0.033	NA	17.8	4.39	12.6	7	UN
P42859	175.0	189.0	7.81	101.0	12.0	79.3	75.0	89.5	0.756	9	UN
Q7TMY7	0.32	0.064	0.288	1.79	0.341	2.45	0.964	4.36	18.2	9	UN
E9PWK1	6.49	19.5	16.1	30.1	1604.0	607.0	11.5	130.0	132.0	9	UN
P15975	0.069	NA	NA	NA	NA	NA	NA	NA	0.225	2	UN
Q6R891	68.5	3.91	0.236	NA	0.299	19.6	NA	5.24	20.6	7	UN
G3UX26	2149.0	718.0	340.0	103.0	74.1	239.0	266.0	196.0	209.0	9	UN
Q9D7B7	NA	1.26	0.561	NA	0.034	1.55	NA	NA	0.497	5	UN
Q9D0I4	1.09	0.576	1.2	0.294	0.706	4.98	4.53	1.17	2.09	9	UN
Q99J27	NA	21.8	12.8	2.96	2.48	0.087	19.9	0.653	6.48	8	UN
Q62481	NA	NA	NA	NA	NA	NA	NA	NA	2.3	1	UN
Q924W7	NA	NA	NA	NA	NA	NA	NA	NA	0.353	1	UN
Q91YI0	5.53	35.4	4.37	268.0	2432.0	45.6	150.0	84.6	235.0	9	UN
Q91ZN5-2	0.08	0.956	NA	0.13	NA	0.119	NA	1.75	0.584	6	UN
O88668	0.497	2.17	35.1	5.49	146.0	57.7	10.1	97.3	51.8	9	UN
Q61001	0.475	14.7	0.705	1316.0	0.124	9.69	0.087	2.36	1.98	9	UN
Q8BGQ6	0.18	NA	NA	NA	NA	NA	NA	NA	0.121	2	UN
Q9CQ85	0.719	25.3	0.825	1.11	11.7	NA	1.47	2.7	5.59	8	UN
D3YUM6	NA	NA	NA	NA	NA	NA	NA	NA	0.454	1	UN
O88895	0.195	NA	NA	0.08	NA	0.142	0.103	0.487	0.734	6	UN
Q9JLN9	105.0	50.0	28.2	70.0	8.79	97.2	119.0	81.5	8.99	9	UN
Q6KCD5-2	0.156	NA	0.01	29.8	0.005	45.4	NA	0.455	3.5	7	UN
O88844	2284.0	1535.0	1143.0	1097.0	1510.0	404.0	250.0	316.0	250.0	9	UN
P49282-2	NA	NA	NA	1.36	NA	NA	NA	0.14	0.135	3	UN
Q8BHG9	0.382	1.34	0.034	1.19	0.435	35.4	6.24	27.1	2.53	9	UN
Q9CZA6	0.726	NA	NA	NA	NA	0.082	0.128	0.224	22.5	5	UN
Q80U22-2	0.179	NA	NA	NA	NA	NA	NA	NA	0.023	2	UN
E9PZ21	0.111	2.42	0.153	0.11	NA	2.3	NA	1.96	7.83	7	UN
Q9CQU5	3.28	0.414	NA	NA	0.018	5.66	0.174	1.41	87.6	7	UN
B2RXC6	NA	0.053	8.14	0.374	0.052	NA	3.43	5.58	0.688	7	UN
Q61072	0.29	NA	NA	0.058	0.005	0.201	NA	0.064	0.954	6	UN
Q9CR47	NA	NA	NA	NA	8.05	NA	NA	NA	7.57	2	UN
P59997	0.023	NA	NA	NA	NA	NA	NA	NA	1.39	2	UN
O89023	17.8	4.63	95.4	539.0	549.0	586.0	10.5	8.55	69.5	9	UN
Q9DBH0	0.179	NA	NA	NA	NA	NA	0.027	0.086	0.275	4	UN
Q9D0F1	NA	NA	NA	NA	NA	NA	NA	0.53	20.3	2	UN
B0R091	29.5	98.1	0.8	35.9	11.9	15.5	9.0	9.66	40.7	9	UN
Q3TUU5	NA	NA	NA	NA	NA	NA	NA	NA	4.02	1	UN
Q8R322	NA	0.125	NA	NA	0.017	0.075	0.174	0.566	1.46	6	UN
Q9CQZ6	6.92	329.0	64.6	232.0	11.9	10.0	71.1	17.9	25.7	9	UN
P61025	NA	NA	NA	NA	NA	NA	NA	NA	14.5	1	UN
P23780	0.9	9.14	0.573	14.3	1.01	8.66	4.31	50.8	6.99	9	UN
Q8BIW9	0.016	NA	NA	NA	NA	NA	NA	0.136	0.344	3	UN
Q3UXG7	0.673	2.34	0.461	0.695	0.056	18.9	2.86	4.73	2.58	9	UN
P15535-2	NA	5.12	NA	NA	0.036	0.323	0.821	0.875	3.23	6	UN
Q9D483	NA	NA	NA	0.055	NA	NA	NA	NA	1.32	2	UN
A2A7B5	0.042	NA	NA	NA	NA	NA	NA	NA	0.309	2	UN
P43135	0.09	NA	NA	3.01	NA	NA	NA	NA	0.591	3	UN
F6XYC5	NA	NA	NA	NA	NA	NA	NA	NA	0.534	1	UN
Q8BHE0	0.103	NA	NA	NA	NA	NA	NA	NA	0.747	2	UN
Q8JZS9	0.264	8.39	2.38	9.46	1.52	0.63	0.448	1.37	6.48	9	UN
E9PWY7	0.048	NA	0.23	0.874	1.94	3.39	NA	1.96	7.65	7	UN
Q3URU2	19.7	NA	NA	NA	NA	NA	NA	NA	12.3	2	UN
Q9R1C6	1.98	NA	NA	NA	NA	NA	3.01	NA	1.65	3	UN
Q8BQ33	0.007	NA	NA	NA	NA	NA	0.039	0.035	0.072	4	UN
P35822	0.028	NA	NA	2.92	NA	0.523	NA	NA	1.0	4	UN
Q6PE54	0.026	NA	NA	NA	NA	NA	NA	0.164	0.176	3	UN
Q8R2L5	1.35	5.98	0.364	0.55	0.33	0.019	NA	0.21	8.89	8	UN
Q9WUU8-3	0.249	NA	NA	NA	NA	NA	NA	NA	1.32	2	UN
Q05C51	0.126	NA	NA	NA	0.029	NA	0.1	19.2	53.5	5	UN
P53762-2	NA	NA	NA	NA	NA	NA	NA	NA	0.428	1	UN
P97464	NA	NA	NA	NA	NA	NA	NA	NA	0.443	1	UN
Q8R1I1	8.5	25.9	7.02	9.1	0.834	3.35	3.73	NA	57.3	8	UN
Q3U3C9-3	NA	NA	0.005	NA	NA	NA	0.051	2.3	0.256	4	UN
G3X963	NA	NA	NA	NA	NA	NA	NA	NA	1.27	1	UN
Q9CQ39	NA	NA	NA	NA	NA	NA	NA	NA	141.0	1	UN
Q8BJS4-2	0.08	NA	NA	NA	5.63	9.58	NA	51.4	6.36	5	UN
P09450	NA	NA	NA	NA	NA	NA	NA	NA	2.8	1	UN
Q9JI13	NA	NA	NA	NA	NA	NA	NA	NA	40.4	1	UN
E9Q2I4	0.023	NA	NA	NA	NA	51.9	0.703	NA	1.72	4	UN
Q62388	0.241	0.022	NA	NA	NA	NA	0.509	1.79	0.15	5	UN
F8VQ29	0.023	32.0	1.47	0.518	1.81	49.5	15.1	87.3	0.692	9	UN
Q91VN6	0.059	NA	NA	NA	8.05	NA	51.1	NA	7.75	4	UN
Q5DTT3	0.036	NA	NA	NA	NA	NA	NA	NA	0.103	2	UN
Q9R1X4-3	0.021	NA	NA	NA	NA	NA	NA	29.4	20.6	3	UN
A8C756	0.081	0.048	0.01	0.978	NA	1.88	8.25	13.1	4.99	8	UN
Q61387	4.76	82.5	28.6	39.6	12.8	10.9	11.1	2.77	22.8	9	UN
Q4ZGD9	NA	NA	NA	NA	NA	NA	NA	NA	0.151	1	UN
Q91VT1	NA	NA	NA	NA	NA	NA	NA	NA	26.1	1	UN
G5E8R8	10.8	3.1	0.018	NA	0.075	3.22	1.88	20.6	56.3	8	UN
Q99N17	NA	NA	NA	NA	0.667	NA	NA	0.231	0.504	3	UN
Q9WVF7	NA	NA	NA	NA	4.28	NA	2.33	2.07	0.264	4	UN
P16056	0.014	NA	NA	0.861	0.023	0.022	NA	0.038	0.526	6	UN
O35316	0.174	0.604	NA	3.03	NA	0.151	NA	0.47	0.45	6	UN
Q9Z2B9	NA	NA	0.069	NA	NA	1.76	0.198	6.44	0.414	5	UN
P11031	68.9	52.9	6.12	64.7	355.0	166.0	150.0	291.0	387.0	9	UN
Q8CHI8-3	0.408	NA	NA	NA	NA	NA	NA	0.046	7.02	3	UN
A2CG76	0.029	0.222	NA	NA	NA	NA	NA	4.59	5.03	4	UN
Q9QY30	0.004	NA	0.025	NA	558.0	0.046	NA	NA	5.58	5	UN
O54791	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1	UN
O35955	NA	1.09	1.13	1.46	17.8	73.2	5.32	37.8	10.7	8	UN
Q9D1N9	4.23	36.3	2.98	7.23	8.57	1.23	0.984	16.8	45.1	9	UN
Q9WVL3	0.012	12.0	27.2	29.1	1.95	8.43	NA	4.9	14.6	8	UN
F8VQJ3	2.36	460.0	351.0	973.0	0.303	234.0	511.0	8.65	12.8	9	UN
Q4U2R1-2	2.31	0.667	1.93	2.96	1.29	3.31	1.97	35.3	2.03	9	UN
Q8VCY6	0.051	NA	NA	NA	NA	NA	2.18	NA	9.04	3	UN
Q6ZPT1	0.119	NA	NA	NA	NA	NA	2.43	NA	0.625	3	UN
A2A5K6	0.444	NA	NA	NA	NA	NA	NA	NA	0.29	2	UN
Q8R422	NA	0.372	0.518	0.051	NA	0.384	NA	0.029	0.491	6	UN
Q920L1	0.103	NA	NA	NA	39.7	19.4	13.5	NA	6.0	5	UN
Q6PHQ8	0.131	0.739	0.052	0.057	0.065	1.29	18.4	2.27	17.2	9	UN
Z4YK18	0.096	NA	NA	NA	NA	NA	NA	NA	0.054	2	UN
Q9D1Q4	0.986	NA	NA	1.94	0.257	0.488	32.5	1.77	3.73	7	UN
Q9CQ19	54.2	66.4	265.0	55.1	18.2	1311.0	38.4	185.0	120.0	9	UN
G3X8R0	26.0	131.0	144.0	106.0	10.6	91.2	611.0	47.3	20.8	9	UN
Q5FWI3	0.257	0.431	0.018	4.13	0.525	134.0	0.514	3.43	1.47	9	UN
Q9CQ06	8.99	36.5	29.1	13.0	16.8	1.52	14.7	9.49	18.5	9	UN
Q9CR59	2.27	13.9	16.3	3.23	6.29	NA	7.09	1.43	2.5	8	UN
Q8C145	0.169	NA	NA	NA	NA	NA	NA	NA	0.374	2	UN
Q9R061	1.82	0.401	0.485	3.21	0.494	2.64	9.8	11.2	105.0	9	UN
O54790	13.1	NA	NA	19.8	NA	NA	NA	NA	6.99	3	UN
Q9WV91	0.183	0.624	48.8	0.732	0.014	285.0	2.89	NA	4.22	8	UN
Q04692	0.028	NA	0.013	NA	NA	0.376	1.45	4.26	1.21	6	UN
P62746	173.0	16.3	24.7	10.4	5.69	57.5	7.86	26.7	87.6	9	UN
Q9CZQ1	NA	NA	NA	NA	NA	NA	NA	NA	0.423	1	UN
Q9CQ54	91.9	789.0	410.0	427.0	81.6	88.0	53.8	21.1	108.0	9	UN
O35127	9.13	1.69	0.845	19.1	0.033	4.34	12.8	8.18	69.8	9	UN
Q8BZQ7	1.09	0.424	NA	0.093	NA	0.773	0.102	5.98	6.66	7	UN
O88441	9.75	275.0	32.8	52.7	19.8	19.0	13.4	14.9	41.3	9	UN
Q8BK35	NA	NA	NA	NA	20.1	13.0	4.51	NA	4.22	4	UN
O88983	3.57	1.12	1.41	5.74	3.97	2.56	NA	2.88	10.2	8	UN
O35604	0.138	0.098	0.481	0.465	3.8	2.28	0.073	0.604	2.29	9	UN
P20060	22.1	5.41	0.983	9.95	2.04	48.3	2.57	110.0	18.6	9	UN
Q9D7H3	20.5	5.21	15.0	2.47	0.223	47.6	4.47	14.3	2.81	9	UN
A2CG63-2	1.17	NA	NA	NA	NA	NA	NA	NA	1.09	2	UN
Q9Z2L6	7.18	NA	0.05	NA	12.2	26.0	0.494	3.77	2.04	7	UN
A0A087WQ11	NA	NA	NA	NA	NA	NA	NA	NA	0.091	1	UN
Q3TTY0	0.01	NA	NA	NA	0.005	0.02	NA	0.277	0.182	5	UN
Q00422	NA	3.53	0.144	NA	0.206	34.9	0.477	7.77	36.7	7	UN
P70336	181.0	79.4	90.1	140.0	2.29	340.0	53.4	117.0	14.3	9	UN
Q9DB28	NA	NA	NA	NA	NA	NA	NA	NA	0.508	1	UN
Q8CG46-2	NA	NA	NA	NA	NA	NA	1.39	0.047	5.09	3	UN
P35456	NA	NA	NA	NA	NA	NA	NA	0.137	0.748	2	UN
A2AGH8	0.013	0.033	0.014	0.182	0.004	0.263	0.058	8.83	0.619	9	UN
F7BJB9	0.028	0.116	NA	NA	0.013	NA	0.033	5.47	1.12	6	UN
Q91XU3	155.0	3.94	0.502	48.5	0.646	11.4	25.3	11.5	4.46	9	UN
O88700	0.007	NA	NA	NA	NA	NA	NA	NA	3.67	2	UN
Q8CGN4-2	0.008	NA	NA	NA	NA	NA	NA	NA	0.932	2	UN
Q3TBW2	5.85	40.7	46.9	20.9	1.12	0.305	0.925	9.25	9.15	9	UN
Q91WG3	NA	NA	NA	NA	NA	NA	NA	NA	0.137	1	UN
Q3TUF7-3	NA	NA	NA	NA	NA	NA	NA	NA	0.327	1	UN
P97329	0.521	NA	NA	NA	0.002	NA	NA	NA	8.93	3	UN
P24860	0.037	NA	NA	NA	NA	NA	NA	1.82	2.3	3	UN
Q6DID7	0.078	0.292	0.012	NA	0.005	NA	NA	0.087	0.298	6	UN
B7ZCV4	0.848	64.9	2.16	20.6	5.68	0.618	2.19	0.257	1.34	9	UN
Q3UFY0	NA	NA	NA	NA	NA	NA	NA	NA	1.8	1	UN
Q7TPQ3-2	0.045	NA	0.825	NA	NA	NA	0.613	0.034	0.281	5	UN
P12265	0.244	9.78	0.632	1.59	43.3	41.7	0.619	27.2	9.4	9	UN
P53798	0.305	0.599	NA	NA	3.4	NA	NA	NA	3.05	4	UN
Q8BRG8-3	0.343	NA	NA	NA	NA	NA	NA	0.928	3.25	3	UN
Q9DBC3	1.22	7.35	0.277	5.2	0.506	6.78	0.128	61.6	6.21	9	UN
Q66X19	0.178	NA	NA	NA	NA	NA	NA	NA	0.1	2	UN
P45700	NA	NA	0.012	NA	26.4	1.03	17.4	4.52	6.07	6	UN
P43300	0.355	NA	NA	NA	NA	NA	NA	NA	0.014	2	UN
Q6PCM2-2	0.089	NA	NA	NA	12.1	NA	NA	2.05	0.91	4	UN
E9Q9B7	0.328	0.157	0.018	0.401	0.004	0.592	0.029	1.15	0.647	9	UN
B1ARM8	0.037	0.036	NA	NA	8.05	NA	NA	0.026	0.021	5	UN
Q8K1K4	NA	NA	NA	19.8	NA	NA	NA	NA	0.157	2	UN
Q8BVL3	0.062	1.61	0.209	1.53	0.107	3.57	1.39	7.4	0.968	9	UN
Q61142-2	0.405	NA	0.026	NA	0.009	0.022	0.349	0.263	29.1	7	UN
E9Q7C4	0.049	NA	NA	NA	NA	NA	NA	NA	0.053	2	UN
P52019	NA	0.068	NA	NA	3.74	NA	0.039	NA	0.992	4	UN
Q3UFB2-2	NA	NA	NA	NA	NA	NA	NA	NA	19.4	1	UN
P61588	NA	NA	NA	NA	NA	NA	NA	NA	0.105	1	UN
Q8R2W9	NA	2.98	0.004	NA	0.097	1.35	4.0	2.53	0.303	7	UN
P97742	1.82	31.6	13.0	602.0	153.0	19.8	4.49	19.7	29.4	9	UN
O35625-2	0.026	NA	NA	NA	NA	NA	NA	NA	0.965	2	UN
Q8K4Q0	5.69	2.35	0.593	0.031	0.217	3.43	3.09	2.68	0.679	9	UN
Q9D1B9	3.03	36.7	23.2	10.8	0.761	1.03	4.73	9.12	11.0	9	UN
Q9D787	0.128	0.939	NA	NA	0.06	0.557	0.062	9.81	2.05	7	UN
Q9R0Z9-2	0.081	NA	NA	NA	0.006	0.604	NA	NA	1.1	4	UN
Q9DCJ5	245.0	1234.0	1135.0	1370.0	223.0	201.0	361.0	145.0	272.0	9	UN
P23242	72.1	6.26	141.0	NA	NA	0.193	NA	NA	9.07	5	UN
Q91XI1	2.16	NA	NA	0.132	NA	1.23	0.662	5.14	1.12	6	UN
Q9JHI5	205.0	1328.0	4581.0	1555.0	146.0	236.0	1430.0	116.0	116.0	9	UN
P42582	NA	NA	NA	NA	NA	NA	NA	NA	0.023	1	UN
Q7JJ13	0.306	1.62	1.85	NA	0.246	0.332	NA	NA	10.9	6	UN
Q9QUN7	NA	NA	NA	NA	NA	NA	NA	NA	0.407	1	UN
P0CL69	NA	NA	NA	NA	NA	NA	NA	NA	0.143	1	UN
Q9CWL8	8.59	4.25	0.11	NA	0.381	22.4	1.24	20.4	59.5	8	UN
Q9D1I6	0.993	1.15	3.96	3.17	2.35	NA	7.54	NA	10.9	7	UN
E9Q9S2	0.021	NA	NA	NA	NA	NA	NA	NA	0.144	2	UN
Q3UM29	33.4	4.25	0.094	0.978	1.19	5.62	28.5	9.25	0.737	9	UN
Q61559	NA	4.34	0.085	63.1	0.403	34.8	NA	4.18	1.6	7	UN
Q9Z2M6	11.4	NA	NA	0.816	NA	1.42	NA	NA	0.353	4	UN
Q8K284	1.98	NA	0.214	NA	0.003	13.0	4.15	0.793	5.98	7	UN
Q9Z1E3	NA	NA	0.35	NA	NA	7.38	0.202	9.68	0.115	5	UN
O70472	NA	NA	NA	NA	NA	NA	NA	NA	0.165	1	UN
Q8BLG0-2	NA	NA	NA	NA	NA	NA	NA	NA	0.115	1	UN
A6H5Y3	0.072	16.6	5.35	0.313	0.405	5.31	1.7	23.2	0.36	9	UN
Q8BHN0	1.25	NA	NA	NA	NA	NA	0.264	NA	0.449	3	UN
Q3TMP1	0.037	0.118	NA	1.23	NA	0.048	3.62	4.14	0.805	7	UN
O54782	0.027	NA	22.1	NA	28.2	NA	NA	0.143	3.34	5	UN
Q6A058	0.04	NA	NA	NA	NA	NA	NA	NA	0.697	2	UN
P43406	8.27	0.638	15.8	47.8	5.99	88.2	3.83	3.38	10.1	9	UN
G3X9T8	2.52	543.0	357.0	274.0	120.0	1215.0	83.4	219.0	575.0	9	UN
H3BJ51	NA	12.0	0.01	4.31	91.7	0.028	NA	0.031	3.57	7	UN
Q8C5Q4	0.459	3.71	0.963	0.909	NA	0.046	NA	0.086	69.9	7	UN
O09005	NA	NA	0.076	6.58	1.9	2.58	1.28	1.15	1.06	7	UN
A8Y5J3	0.039	NA	NA	NA	NA	NA	17.5	0.076	1.09	4	UN
Q61508	NA	0.192	2.45	NA	42.9	118.0	NA	0.187	211.0	6	UN
Q8BJS8	NA	NA	NA	NA	NA	NA	NA	NA	10.2	1	UN
E9Q3P4	0.293	0.056	NA	NA	NA	NA	0.027	0.359	0.36	5	UN
Q8BGW1-2	1.11	1.08	0.006	NA	0.119	1.07	0.058	1.33	23.3	8	UN
Q9D8N0	583.0	455.0	223.0	261.0	351.0	479.0	1305.0	569.0	196.0	9	UN
P68372	8656.0	541.0	2767.0	3617.0	1037.0	4785.0	296.0	620.0	15608.0	9	UN
P80315	89.2	308.0	74.2	413.0	112.0	228.0	379.0	2599.0	621.0	9	UN
P62259	4051.0	1388.0	1162.0	542.0	351.0	1796.0	836.0	4265.0	449.0	9	UN
Q80T06	148.0	187.0	169.0	74.4	65.3	213.0	971.0	293.0	311.0	9	UN
P26041	98.6	1160.0	2087.0	5405.0	196.0	7212.0	353.0	7686.0	261.0	9	UN
P23591	5.91	34.4	25.6	19.4	12.3	51.5	617.0	60.9	57.5	9	UN
P68369	7704.0	258.0	486.0	188.0	455.0	464.0	149.0	1242.0	469.0	9	UN
Q3U2G2	1514.0	1087.0	1096.0	609.0	1327.0	621.0	973.0	1689.0	54.7	9	UN
P06801	160.0	1942.0	117.0	699.0	392.0	245.0	27.5	27.3	169.0	9	UN
Q9WVA4	46.8	310.0	113.0	167.0	121.0	821.0	300.0	773.0	639.0	9	UN
P05213	7368.0	223.0	478.0	178.0	515.0	324.0	126.0	1200.0	492.0	9	UN
P70698	34.3	4.17	17.8	23.5	0.674	78.6	32.6	51.4	107.0	9	UN
P10639	772.0	255.0	78.1	319.0	139.0	626.0	927.0	270.0	2398.0	9	UN
Q9Z1F9	132.0	44.8	19.2	64.5	3.27	274.0	18.0	315.0	385.0	9	UN
O88342	696.0	412.0	501.0	637.0	72.0	1112.0	74.6	3076.0	164.0	9	UN
Q9R0P5	346.0	211.0	346.0	934.0	182.0	1624.0	1417.0	453.0	1550.0	9	UN
Q9Z0S1	365.0	199.0	12.7	142.0	62.1	95.3	163.0	55.3	83.8	9	UN
Q9R0Q7	29.2	85.5	28.6	33.3	16.3	187.0	95.6	176.0	1605.0	9	UN
O70435	449.0	71.1	97.6	82.6	1681.0	174.0	78.9	112.0	233.0	9	UN
Q99LX0	2596.0	715.0	736.0	915.0	3168.0	958.0	618.0	609.0	862.0	9	UN
Q920E5	622.0	70.1	1.96	19.7	58.3	64.5	129.0	50.5	169.0	9	UN
G3X8Y3	9.94	115.0	9.56	9.46	4.78	28.8	81.6	93.6	36.1	9	UN
Q8BJY1	4.44	24.0	2.05	99.6	1.14	35.4	140.0	41.4	58.9	9	UN
Q9CXW3	309.0	82.2	124.0	178.0	51.4	241.0	131.0	267.0	464.0	9	UN
P14206	1239.0	153.0	175.0	160.0	164.0	457.0	750.0	325.0	1428.0	9	UN
P21107-2	1910.0	208.0	225.0	54.9	364.0	798.0	110.0	558.0	555.0	9	UN
P54822	21.5	80.7	128.0	113.0	11.3	202.0	49.2	150.0	85.6	9	UN
P61161	190.0	158.0	123.0	124.0	60.1	373.0	69.6	3431.0	144.0	9	UN
P59325	41.6	76.7	11.7	3.03	11.8	88.7	298.0	140.0	164.0	9	UN
Q93092	588.0	2648.0	114.0	907.0	391.0	685.0	1354.0	4748.0	198.0	9	UN
Q9ER72	8.69	12.4	0.913	2.75	324.0	23.7	267.0	63.7	43.2	9	UN
A2ADR8	36.1	1.58	0.373	49.5	72.5	34.5	NA	6.39	61.4	8	UN
Q05816	3379.0	906.0	207.0	77.4	126.0	812.0	231.0	178.0	303.0	9	UN
Q61598	776.0	861.0	842.0	735.0	1082.0	1104.0	580.0	3904.0	412.0	9	UN
O35343	10.5	32.0	5.03	28.7	26.6	52.6	39.7	68.1	112.0	9	UN
Q3THK7	385.0	225.0	52.2	119.0	18.8	99.8	31.1	175.0	11.8	9	UN
P47754	1297.0	149.0	157.0	65.3	97.3	378.0	89.0	348.0	207.0	9	UN
P99024	2699.0	219.0	71.4	7853.0	31.8	451.0	2992.0	335.0	43042.0	9	UN
Q9D1M0	9.6	20.4	11.2	51.5	59.3	54.1	674.0	41.2	109.0	9	UN
P70168	449.0	305.0	516.0	165.0	258.0	398.0	89.8	388.0	316.0	9	UN
Q3UM45	82.4	47.7	107.0	82.1	2.26	93.9	218.0	86.1	120.0	9	UN
Q01853	847.0	1885.0	2784.0	1261.0	1501.0	2109.0	3489.0	2121.0	765.0	9	UN
Q8CIN4	183.0	82.9	39.3	26.6	1.7	246.0	58.2	190.0	96.8	9	UN
Q9D662	3.1	16.2	2.27	44.9	159.0	69.4	217.0	116.0	38.7	9	UN
Q9EPL8	65.2	114.0	61.7	77.0	24.7	367.0	217.0	169.0	118.0	9	UN
Q9WVJ2	1046.0	133.0	119.0	132.0	74.7	157.0	127.0	247.0	201.0	9	UN
Q9QYB1	114.0	264.0	298.0	1110.0	40.1	1636.0	296.0	287.0	347.0	9	UN
Q62426	200.0	11.3	56.6	490.0	217.0	448.0	366.0	22.5	800.0	9	UN
P14824	437.0	2657.0	799.0	558.0	157.0	2194.0	2685.0	4879.0	177.0	9	UN
Q7TPR4	64.2	123.0	521.0	945.0	516.0	883.0	123.0	739.0	221.0	9	UN
P14873	1180.0	73.2	6.68	0.226	0.352	46.4	31.1	3.0	27.5	9	UN
Q8BMD8	0.038	7.38	0.975	NA	0.385	44.5	4.26	33.9	10.6	8	UN
Q99KK7	161.0	148.0	165.0	268.0	844.0	383.0	600.0	429.0	97.1	9	UN
P61327	65.5	9.01	31.6	44.9	46.6	50.6	17.0	13.1	138.0	9	UN
P10107	146.0	222.0	48.6	28.3	4.94	914.0	117.0	481.0	274.0	9	UN
Q7TNC4-2	61.3	16.1	25.4	89.3	147.0	238.0	14.5	57.1	71.6	9	UN
