prot	BRAIN	BROWN_ADIPOSE_TISSUE	HEART	KIDNEY	LIVER	LUNG	PANCREAS	SPLEEN	WHOLE_ORGANISM	tcount	def
P50543	NA	117.0	39.1	42.9	17.7	903.0	35.8	56.9	1368.0	8	ED
P14069	3.29	33.3	140.0	314.0	85.9	1870.0	37.6	59.0	1089.0	9	ED
Q9D1E6	539.0	12.2	4.27	9.37	1.63	55.8	36.9	12.1	122.0	9	ED
Q64737	21.3	153.0	400.0	59.5	26.7	82.2	78.8	287.0	148.0	9	ED
P34152-3	13.1	9.87	6.8	0.566	1.25	105.0	6.16	7.35	16.6	9	ED
Q9D2Q3	NA	NA	NA	NA	NA	NA	NA	NA	0.109	1	ED
Q3ULB1	0.109	0.639	1.44	NA	0.018	20.8	9.97	13.2	9.54	8	ED
P61982	3948.0	1168.0	384.0	355.0	280.0	296.0	259.0	310.0	1402.0	9	ED
Q5RKN9	96.5	44.3	8.63	25.4	55.9	145.0	61.7	260.0	145.0	9	ED
Q8BV13	172.0	NA	1.77	NA	0.162	6.36	16.7	2.11	71.1	7	ED
P52480-2	5165.0	5343.0	2995.0	3210.0	156.0	1823.0	2991.0	3662.0	2078.0	9	ED
Q9CQ60	834.0	215.0	362.0	189.0	55.6	199.0	76.5	115.0	250.0	9	ED
P68037	254.0	188.0	303.0	242.0	106.0	370.0	189.0	317.0	898.0	9	ED
O35130	0.152	NA	0.006	NA	NA	NA	12.0	0.653	3.04	5	ED
Q8BX17	0.934	0.165	NA	0.08	0.091	0.603	72.7	44.0	38.1	8	ED
Q8R4Y8	0.011	NA	NA	NA	NA	NA	NA	0.664	0.034	3	ED
Q62093	360.0	15.0	4.3	0.941	103.0	29.5	19.5	98.0	304.0	9	ED
Q9CR86	22.2	64.6	137.0	54.8	64.9	239.0	103.0	37.7	43.9	9	ED
Q9QYF9	167.0	20.0	0.011	6.25	0.122	36.6	2.42	7.3	46.0	9	ED
Q9JLV1	1.27	7.44	999.0	NA	98.4	161.0	9.19	2.48	39.0	8	ED
Q9JKB1	662.0	30.0	62.2	42.2	1.57	11.2	41.6	48.6	319.0	9	ED
P24547	2.22	11.5	5.72	3.21	7.68	42.0	46.9	292.0	418.0	9	ED
P07091	NA	7.21	4.5	36.7	90.3	75.2	11.3	135.0	82.1	8	ED
Q8CGC4	0.158	NA	NA	NA	3.54	NA	10.8	NA	2.14	4	ED
Q8CHP8	225.0	24.4	18.6	21.4	2.15	40.8	16.5	49.4	118.0	9	ED
G5E8A7	1.25	NA	0.007	NA	NA	2.36	0.092	0.431	0.812	6	ED
F8WJK8	871.0	195.0	2571.0	427.0	2151.0	278.0	569.0	308.0	308.0	9	ED
G5E8J9	22.6	7.9	1.41	24.1	74.0	51.1	1.19	13.5	16.6	9	ED
Q6ZWQ5	122.0	60.9	14.0	144.0	34.7	155.0	18.6	157.0	92.8	9	ED
P16125	2905.0	2475.0	2571.0	3308.0	504.0	675.0	39.5	66.3	581.0	9	ED
Q9CQ65	22.8	49.9	19.7	36.7	15.3	90.2	364.0	88.1	176.0	9	ED
Q9DBP5	1443.0	338.0	57.3	466.0	1310.0	280.0	858.0	369.0	86.5	9	ED
Q9D8B3	454.0	25.2	7.93	21.0	0.883	70.4	26.3	39.1	18.5	9	ED
Q8BP48	24.6	5.53	0.599	74.1	117.0	27.9	90.4	2.59	63.0	9	ED
Q9ERG2	56.5	22.5	65.6	3.11	0.748	158.0	67.6	18.0	36.1	9	ED
Q5SF07	NA	NA	0.033	0.263	0.018	1.64	NA	NA	66.5	5	ED
Q60598	157.0	94.6	37.2	109.0	33.5	398.0	38.4	42.8	122.0	9	ED
P45377	24.1	66.8	46.6	6.04	2.67	102.0	0.562	29.6	12.1	9	ED
P62192	156.0	58.9	109.0	163.0	60.1	99.8	312.0	127.0	194.0	9	ED
P56212-2	81.7	1.48	3.11	NA	1.36	13.8	10.3	5.04	312.0	8	ED
Q8BFW7	0.567	42.4	58.5	69.4	30.7	872.0	3.81	45.6	19.7	9	ED
Q6P549	2.59	38.1	36.0	0.26	0.021	6.58	128.0	10.8	5.64	9	ED
Q8BWY3	49.9	49.3	575.0	63.8	4.05	33.3	1095.0	142.0	102.0	9	ED
Q8CG76	18.0	104.0	33.3	611.0	144.0	41.9	156.0	19.2	58.3	9	ED
Q6P5B5	0.303	0.705	137.0	NA	0.108	2.51	0.246	0.639	5.41	8	ED
Q6ZQ38	356.0	408.0	63.2	336.0	71.9	436.0	957.0	1272.0	26.2	9	ED
Q9QUH0	52.6	25.7	40.0	97.3	22.9	14.3	29.9	22.2	292.0	9	ED
Q9JIW9	74.2	68.8	37.1	216.0	958.0	292.0	62.1	38.0	28.3	9	ED
Q60960	4.01	6.4	1.85	0.461	0.572	4.77	4.76	20.6	64.5	9	ED
Q9Z0E6	0.134	14.7	1.55	2.23	1.77	46.6	8.99	34.5	2.01	9	ED
P47941	438.0	11.5	10.8	9.87	2.93	84.0	28.0	73.6	111.0	9	ED
G3UXZ5	823.0	698.0	140.0	120.0	209.0	766.0	245.0	5422.0	89.9	9	ED
O35344	6.7	7.58	17.3	3.04	32.1	19.1	11.3	30.3	126.0	9	ED
